Datetime,Quarter,Likes,NFT,Text,clean_text,manual_label
2022-03-28,21,1,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #3544 sold for 32.1321 ETH! ($105702.08)

- https://t.co/u18rssPzMy
- https://t.co/XB2uUeXayC

Rarity 🟦7326/18022
#mayc #mutantape #mutantapeclub #nft #nanocube https://t.co/P39qPko3Pm",mutant ape yacht club sold eth rarity mayc mutantape mutantapeclub nft nanocube,pos
2023-02-09,31,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#3370 sold for 14.86 ETH ($24.14K)

🔗 https://t.co/TgautiUI1t https://t.co/HqmJu2Wptt",mutant ape yacht club mayc nft sold eth k,pos
2023-02-13,31,4,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#12614 sold for 17 ETH ($25.80K)

🔗 https://t.co/hUU3T7SuJv https://t.co/oLiMC2snhO",mutant ape yacht club mayc nft sold eth k,pos
2022-12-28,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#2526 sold for 16.33 ETH ($19.46K)

🔗 https://t.co/8fEp5x5ZUb https://t.co/i3NEgZiTgG",mutant ape yacht club mayc nft sold eth k,pos
2021-12-30,14,0,Mutant Ape Yacht Club,"Mutant Ape Yacht Club | #MAYC

ID: #9478
Sold for: 11 ETH (41.21K $)
Tx: https://t.co/oV6gjrs58G

🔗 https://t.co/90CENTy5Yt https://t.co/ki5aEBDF7h",mutant ape yacht club mayc id sold eth k tx,pos
2022-06-29,22,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#15764 sold for 24 ETH (26.35k $)

🔗 https://t.co/ImDiRmA3Cw https://t.co/FsH65PuQPf",mutant ape yacht club mayc nft sold eth k,pos
2023-02-10,31,111,Mutant Ape Yacht Club,"WE’RE GIVING AWAY A $25,000 MUTANT APE YACHT CLUB TO A HOLDER IN 3 DAYS

DETAILS 👇

Tickets:
1 NFT: 3x
2 NFTs: 10x
3 NFTs: 50x
4 NFTs: 100x
5 NFTs: 250x
20 NFTs: 5000x
1 Sweep: 25x

Official Mint @ 0.055 ETH
https://t.co/vhNSOiguHG https://t.co/TUmxUcjOMT",giving away mutant ape yacht club holder day detail ticket nft x nfts x nfts x nfts x nfts x nfts x sweep x official mint eth,neu
2022-12-29,24,0,Mutant Ape Yacht Club,"Public sale is Live! @cybotz_nft🚀

Top 10 #NFT sales in last hour

42.00 eth   the fuck you looking at?
34.00 eth   Azuki #9879
18.00 eth   Mutant Ape Yacht Club 29444
16.05 eth   Mutant Ape Yacht Club 3699
15.85 eth   Mutant Ape Yacht Club 8380",public sale live cybotz nft top nft sale last hour eth fuck looking eth azuki eth mutant ape yacht club eth mutant ape yacht club eth mutant ape yacht club,pos
2022-09-25,23,0,Mutant Ape Yacht Club,"Public sale is Live! @cybotz_nft🚀

Top 10 #NFT sales in last hour

83.50 eth   Bored Ape Yacht Club 4352
83.00 eth   Bored Ape Yacht Club 5118
16.50 eth   Mutant Ape Yacht Club 24548
16.50 eth   Mutant Ape Yacht Club 3219
16.40 eth   Mutant Ape Yacht Club 25192",public sale live cybotz nft top nft sale last hour eth bored ape yacht club eth bored ape yacht club eth mutant ape yacht club eth mutant ape yacht club eth mutant ape yacht club,pos
2023-02-10,31,3,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#3281 sold for 14.86 ETH ($22.99K)

🔗 https://t.co/MCeRJhn6TX https://t.co/qPtBQwQA2u",mutant ape yacht club mayc nft sold eth k,pos
2023-02-09,31,2,Mutant Ape Yacht Club,"🐳1 Mutant Ape Yacht Club bought for Ξ15.79

🧹Floor:Ξ14.2857/1H Chg%:📈+0.00%
⏱️Floor:1HΞ14.2857/8HΞ14.49/24HΞ14.4
💰Volume:1HΞ14.070/8HΞ285.508/24HΞ868.091

👀Snipe on @nfteye_io:
https://t.co/IPUfeelZjX

🛒Buyer: 
0x19024dC5464a018D1db1e96Bc19Daf954511E6be

#NFTs #NFTEye",mutant ape yacht club bought floor h chg floor h h h volume h h h snipe nfteye io buyer x dc db e bc daf e nfts nfteye,pos
2022-09-21,23,0,Mutant Ape Yacht Club,"Public sale is Live! @cybotz_nft🚀

Top 10 #NFT sales in last hour

39.90 eth   PROOF Collective
16.50 eth   #136
15.98 eth   Mutant Ape Yacht Club 19986
12.00 eth   Otherdeed for Otherside 87836
10.00 eth   Unrevealed Raft #3",public sale live cybotz nft top nft sale last hour eth proof collective eth eth mutant ape yacht club eth otherdeed otherside eth unrevealed raft,pos
2022-03-28,21,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#3158 sold for 75.000K ETH (75.07K $)

🔗 https://t.co/e0V9rj2OY0 https://t.co/hMWykTIRKr",mutant ape yacht club mayc nft sold k eth k,pos
2021-12-30,14,0,Mutant Ape Yacht Club,"Mutant Ape Yacht Club | #MAYC

ID: #18344
Sold for: 11.2 ETH (40.73K $)
Tx: https://t.co/WEH0ZKUNMR

🔗 https://t.co/kf8Kd0SnjA https://t.co/0f00GXjNxB",mutant ape yacht club mayc id sold eth k tx,pos
2022-09-29,23,2,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#6789 sold for 16.95 ETH ($22.65k)

🔗 https://t.co/UPNTDcQm1B https://t.co/3XXE6M9PcR",mutant ape yacht club mayc nft sold eth k,pos
2022-03-28,21,1,Mutant Ape Yacht Club,#据OpenSea交易数据显示，NFT项目Bored Ape Yacht Club#835和Mutant Ape Yacht Club#11670分别以115美元和25美元成交。当前Bored Ape Yacht Club地板价暂报106.9ETH，Mutant Ape Yacht Club地板价暂报23.33ETH。#NFT #ETH #BTC,opensea nft bored ape yacht club mutant ape yacht club bored ape yacht club eth mutant ape yacht club eth nft eth btc,neu
2023-02-12,31,1,Mutant Ape Yacht Club,"P̳ast 4 H̳ours S̳tats
S̳ales:
UINTS: 1484
This Artwork Is Subject To Change: 925
The Toxics: 676
Kiyoshi's Seeds Project: 491

V̳olume:
a KID called BEAST: Ξ246.54
DigiDaigaku Genesis: Ξ188.63
Mutant Ape Yacht Club: Ξ148.74
Checks - VV Edition: Ξ113.03",p ast h tat ale uints artwork subject change toxics kiyoshi seed project v olume kid called beast digidaigaku genesis mutant ape yacht club check vv edition,pos
2022-03-29,21,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#11886 sold for 22 ETH (74.25K $)

🔗 https://t.co/dTCJqQ3WaC https://t.co/UQh8rkGnYk",mutant ape yacht club mayc nft sold eth k,pos
2022-12-29,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#541 sold for 16.9 ETH ($20.16K)

🔗 https://t.co/lH2ycdjahS https://t.co/h8sTI2bVET",mutant ape yacht club mayc nft sold eth k,pos
2022-09-21,23,1,Mutant Ape Yacht Club,"🚨 https://t.co/NREXNfxMrC NFT Loan Alert 🚨 

New term loan against Arcade Vault [5 NFTs: Mutant Ape Yacht Club]
~ Principal: 55,000.00 USDC
~ Duration: 45 days
~ Repayment: 57,100.00 USDC

@boredapeyc #MAYC @yugalabs @arcade_xyz https://t.co/BMulvyZCpi https://t.co/wOcPhK8aIt",nft loan alert new term loan arcade vault nfts mutant ape yacht club principal usdc duration day repayment usdc boredapeyc mayc yugalabs arcade xyz,neu
2022-03-30,21,3,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #11886 sold for 22.6 ETH! ($76253.98)

- https://t.co/akIRDka0yB
- https://t.co/mMI57mU2V7

Rarity ⬜18007/18022
#mayc #mutantape #mutantapeclub #nft #nanocube https://t.co/PYlTs2Hzfs",mutant ape yacht club sold eth rarity mayc mutantape mutantapeclub nft nanocube,pos
2023-02-10,31,3,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#3699 sold for 15.296 ETH ($23.53K)

🔗 https://t.co/jsp2MkVU2j https://t.co/12RzbDJqQQ",mutant ape yacht club mayc nft sold eth k,pos
2022-03-28,21,6,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#7416 sold for 27.5 ETH (93.01K $)

🔗 https://t.co/ZuYCnFSnD9 https://t.co/C0RDU0OI7o",mutant ape yacht club mayc nft sold eth k,pos
2022-06-28,22,0,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #2773 sold for 16.70 ETH ($19,236.56)
                        
Previously sold for 10.99 ETH ($12,634.10)
#NFT Collection: #MutantApeYachtClub
Floor Price: 18.09 #ETH

https://t.co/2mQ11JOrsf https://t.co/f6nStbDzBI",mutant ape yacht club sold eth previously sold eth nft collection mutantapeyachtclub floor price eth,pos
2022-06-28,22,3,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#20148 sold for 17.6 ETH (19.77k $)

🔗 https://t.co/nCv2UjJojN https://t.co/J6WZgLZfu5",mutant ape yacht club mayc nft sold eth k,pos
2023-02-13,31,0,Mutant Ape Yacht Club,"5x Mutant Ape Yacht Club
Total cost: 74.5732Ξ
Average cost: 14.9146Ξ
User: Christian2022
Tx: https://t.co/yJrKKcMb2V

https://t.co/ii7y7780we",x mutant ape yacht club total cost average cost user christian tx,pos
2022-12-29,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#8242 sold for 16.2 ETH ($19.33K)

🔗 https://t.co/jHxUHxaXhF https://t.co/ER80Q59xJF",mutant ape yacht club mayc nft sold eth k,pos
2023-02-09,31,3,Mutant Ape Yacht Club,"Public sale is Live! @cybotz_nft🚀

Top 10 #NFT sales in last hour

72.50 eth   Bored Ape Yacht Club 6501
16.20 eth   Mutant Ape Yacht Club 12362
15.58 eth   Azuki #3411
15.38 eth   Azuki #4016
15.29 eth   Mutant Ape Yacht Club 24718",public sale live cybotz nft top nft sale last hour eth bored ape yacht club eth mutant ape yacht club eth azuki eth azuki eth mutant ape yacht club,pos
2022-12-29,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#8343 sold for 15.8 ETH ($18.92K)

🔗 https://t.co/HcvzzLTtg0 https://t.co/IyjofzciDY",mutant ape yacht club mayc nft sold eth k,pos
2022-03-28,21,0,Mutant Ape Yacht Club,"🚨🚨🚨 NFT Big Trade

➡️Transfer: [0x922f01] -&gt; [0x39ad0f]
✨NFT: Mutant Ape Yacht Club #3544 https://t.co/gNddg3KC8A
💰Price: 32.13 ETH ($105,663.33)
🛢️Gas: 0.0052 ETH ($17.01)

#MAYC",nft big trade transfer x f gt x ad f nft mutant ape yacht club price eth gas eth mayc,neu
2023-02-13,31,4,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#8848 sold for 15.395 ETH ($23.41K)

🔗 https://t.co/Ob9kVvT2ut https://t.co/UroMCfR6Xc",mutant ape yacht club mayc nft sold eth k,pos
2022-09-26,23,1,Mutant Ape Yacht Club,"Public sale is Live! @cybotz_nft🚀

Top 10 #NFT sales in last hour

94.95 eth   CryptoPunk #8013
64.00 eth   CryptoPunk #3695
26.00 eth   Everlasting - ‘Levitate’
15.60 eth   Mutant Ape Yacht Club 2068
9.00 eth   CloneX #15483",public sale live cybotz nft top nft sale last hour eth cryptopunk eth cryptopunk eth everlasting levitate eth mutant ape yacht club eth clonex,pos
2021-12-30,14,1,Mutant Ape Yacht Club,"📈 #0xd2C bought MutantApeYachtClub #2286 - Mutant Ape Yacht Club for $44.5K (~12.0 ETH)

https://t.co/YeKX0iqjW1 https://t.co/8YtkXOrvE6",xd c bought mutantapeyachtclub mutant ape yacht club k eth,pos
2022-06-24,22,1,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #8078 sold for 19.50 ETH ($24,035.51)
                        
Previously sold for 19.50 ETH ($24,169.47)
#NFT Collection: #MutantApeYachtClub
Floor Price: 17.6 #ETH

https://t.co/fJ1nXQFnoT https://t.co/C41VAQZYsQ",mutant ape yacht club sold eth previously sold eth nft collection mutantapeyachtclub floor price eth,pos
2022-06-27,22,3,Mutant Ape Yacht Club,"#NFT Time! Mutant Ape Yacht Club one day volume is 808.91 $eth

#mutant_ape_yacht_club #opensea https://t.co/mZtfpaV485",nft time mutant ape yacht club one day volume eth mutant ape yacht club opensea,neu
2022-09-26,23,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#11124 sold for 18 ETH ($23.79k)

🔗 https://t.co/U7rHuduGRx https://t.co/OX4XAWA6t3",mutant ape yacht club mayc nft sold eth k,pos
2022-09-23,23,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#14532 sold for 15.9 ETH ($20.98k)

🔗 https://t.co/cg3NeyqayS https://t.co/umozME9XDL",mutant ape yacht club mayc nft sold eth k,pos
2023-02-10,31,3,Mutant Ape Yacht Club,"#NFT Time! Mutant Ape Yacht Club one day volume is 1111.2 $eth

#mutant_ape_yacht_club #opensea https://t.co/PHy70oOvEo",nft time mutant ape yacht club one day volume eth mutant ape yacht club opensea,neu
2023-02-09,31,2,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#6790 sold for 14.87 ETH ($24.32K)

🔗 https://t.co/ySaEglCGF5 https://t.co/BESwfK7cUA",mutant ape yacht club mayc nft sold eth k,pos
2022-12-28,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#2434 sold for 16.5 ETH ($19.77K)

🔗 https://t.co/unxtkE2NRI https://t.co/XMxnnCuZ0k",mutant ape yacht club mayc nft sold eth k,pos
2022-06-28,22,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#2704 sold for 20.49 ETH (22.49k $)

🔗 https://t.co/RmCbfZpod1 https://t.co/n0C9h50WOd",mutant ape yacht club mayc nft sold eth k,pos
2023-02-10,31,3,Mutant Ape Yacht Club,"#NFT Time! Mutant Ape Yacht Club one day volume is 1308.75 $eth

#mutant_ape_yacht_club #opensea https://t.co/nqZHLEZ6hA",nft time mutant ape yacht club one day volume eth mutant ape yacht club opensea,neu
2022-03-29,21,5,Mutant Ape Yacht Club,"【BAYC # 835和MAYC # 11670分别以115美元和25美元成交】

据OpenSea交易数据显示，NFT项目Bored Ape Yacht Club # 835和Mutant Ape Yacht Club # 11670分别以115美元和25美元成交。#BAYC #NFT 
https://t.co/o0ptW97IXe",bayc mayc opensea nft bored ape yacht club mutant ape yacht club bayc nft,neu
2021-12-29,14,0,Mutant Ape Yacht Club,"📈 #0xeCf bought MutantApeYachtClub #7826 - Mutant Ape Yacht Club for $93.1K (~25.0 ETH)

https://t.co/nc6HPmQROu https://t.co/gPMcym5wDm",xecf bought mutantapeyachtclub mutant ape yacht club k eth,pos
2022-03-30,21,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#7461 sold for 23.99 ETH (81.71K $)

🔗 https://t.co/1y76huFjgz https://t.co/7GUuNhlvUV",mutant ape yacht club mayc nft sold eth k,pos
2022-12-29,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#4057 sold for 16.2 ETH ($19.34K)

🔗 https://t.co/AMNofAsnKu https://t.co/6FmgcQqYZh",mutant ape yacht club mayc nft sold eth k,pos
2021-12-30,14,0,Mutant Ape Yacht Club,"Mutant Ape Yacht Club | #MAYC

ID: #9836
Sold for: 37 ETH (135.27K $)
Tx: https://t.co/S8bHqTHykG

🔗 https://t.co/oZZc5I2ybH https://t.co/E37CQC9sdO",mutant ape yacht club mayc id sold eth k tx,pos
2022-06-27,22,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#2878 sold for 69 ETH (75.75k $)

🔗 https://t.co/WEvfT8Xmw7 https://t.co/03QhNG3sQ2",mutant ape yacht club mayc nft sold eth k,pos
2022-09-25,23,0,Mutant Ape Yacht Club,Hourly trading volume of Mutant Ape Yacht Club NFT24 increased by 180.72%  #Blockchain #NFT https://t.co/G7nT2iP7Ng,hourly trading volume mutant ape yacht club nft increased blockchain nft,pos
2022-06-26,22,0,Mutant Ape Yacht Club,"New big #NFT Sale 🚀

Mutant Ape Yacht Club #432 bought for Ξ21.5ETH ($26,611.20)
Floor Price: Ξ17.88ETH

https://t.co/5IQoh8GuTt",new big nft sale mutant ape yacht club bought eth floor price eth,pos
2023-02-12,31,1,Mutant Ape Yacht Club,"#NFT Time! Mutant Ape Yacht Club one day volume is 555.25 $eth

#mutant_ape_yacht_club #opensea https://t.co/nksHHCbYgE",nft time mutant ape yacht club one day volume eth mutant ape yacht club opensea,neu
2022-06-29,22,1,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #29780 sold for 17.98 ETH ($19,819.35)
                        
Previously sold for 18.88 ETH ($20,898.27)
#NFT Collection: #MutantApeYachtClub
Floor Price: 18 #ETH

https://t.co/EGYMae9Wlb https://t.co/Z8nQz05WAG",mutant ape yacht club sold eth previously sold eth nft collection mutantapeyachtclub floor price eth,pos
2023-02-10,31,3,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#2914 sold for 14 ETH ($21.56K)

🔗 https://t.co/GRi84vixmc https://t.co/uKMzMfSkmz",mutant ape yacht club mayc nft sold eth k,pos
2022-06-27,22,0,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #743 sold for 20.00 ETH ($23,991.00)
                        
Previously sold for 20.00 ETH ($23,854.40)
#NFT Collection: #MutantApeYachtClub
Floor Price: 18.4 #ETH

https://t.co/siKVSvTUVt https://t.co/06Vfdq9Oip",mutant ape yacht club sold eth previously sold eth nft collection mutantapeyachtclub floor price eth,pos
2021-12-30,14,1,Mutant Ape Yacht Club,"1H Top #NFT Volume

Mutant Ape Yacht Club: Ξ72.07 ($267,657.68)
Prime Ape Planet PAP: Ξ58.06 ($215,626.54)
Larva Lads: Ξ40.15 ($149,111.36)
Yung Ape Squad Official: Ξ36.38 ($135,110.12)
More Than Gamers | MTG: Ξ28.18 ($104,656.49)",h top nft volume mutant ape yacht club prime ape planet pap larva lad yung ape squad official gamers mtg,pos
2022-09-22,23,0,Mutant Ape Yacht Club,"New big #NFT Sale 🚀

Mutant Ape Yacht Club #17230 bought for Ξ15.3ETH ($19,737.00)
Floor Price: Ξ0ETH

https://t.co/6Ws41ndP0Z",new big nft sale mutant ape yacht club bought eth floor price eth,pos
2021-12-30,14,1,Mutant Ape Yacht Club,"📈 #0x3DD bought MutantApeYachtClub #28752 - Mutant Ape Yacht Club for $37.1K (~10.0 ETH)

https://t.co/7cFESWYKvR https://t.co/wh0qIel1YM",x dd bought mutantapeyachtclub mutant ape yacht club k eth,pos
2022-09-27,23,3,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#2297 sold for 15.3 ETH ($20.45k)

🔗 https://t.co/ciPpFM1bmU https://t.co/06AaIkwiV8",mutant ape yacht club mayc nft sold eth k,pos
2021-12-29,14,0,Mutant Ape Yacht Club,"Mutant Ape Yacht Club | #MAYC

ID: #29500
Sold for: 11.998 ETH (44.73K $)
Tx: https://t.co/nifbcPQHPn

🔗 https://t.co/x9mSfhX1R2 https://t.co/h1MbKXrgS9",mutant ape yacht club mayc id sold eth k tx,pos
2023-02-10,31,1,Mutant Ape Yacht Club,"Public sale is Live! @cybotz_nft🚀

Top 10 #NFT sales in last hour

14.97 eth   Mutant Ape Yacht Club 6982
10.51 eth   DigiDaigaku #687 - Erina
9.50 eth   DigiDaigaku #1532 - Mitsuki
5.33 eth   Doodle #2284
5.33 eth   Doodle #2331",public sale live cybotz nft top nft sale last hour eth mutant ape yacht club eth digidaigaku erina eth digidaigaku mitsuki eth doodle eth doodle,pos
2022-09-23,23,0,Mutant Ape Yacht Club,"Public sale is Live! @cybotz_nft🚀

Top 10 #NFT sales in last hour

15.90 eth   Mutant Ape Yacht Club 14532
6.20 eth   Citizen #1668
5.50 eth   🧚🏼‍♂.eth ⚠️
4.55 eth   #0492
4.25 eth   Otherdeed for Otherside 5345",public sale live cybotz nft top nft sale last hour eth mutant ape yacht club eth citizen eth eth eth eth otherdeed otherside,pos
2022-12-29,24,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#4716 sold for 16.29 ETH ($19.38K)

🔗 https://t.co/k4mZWxIjo0 https://t.co/kDIY5Oy7j8",mutant ape yacht club mayc nft sold eth k,pos
2022-09-27,23,0,Mutant Ape Yacht Club,"I'M IN! Just entered an 'on chain' NFT Competition to win Mutant Ape Yacht Club #25801, worth $43,732 on https://t.co/u38ok1t8B1! 
Thank you @Meta_Winners ! LFG! https://t.co/N0TtrBwmxf #WinninginWeb3",entered chain nft competition win mutant ape yacht club worth thank meta winner lfg winninginweb,pos
2022-09-28,23,0,Mutant Ape Yacht Club,"New big #NFT Sale 🚀

Mutant Ape Yacht Club #14846 bought for Ξ16.4ETH ($21,875.63)
Floor Price: Ξ15.8

https://t.co/JaGU7vzPGu",new big nft sale mutant ape yacht club bought eth floor price,pos
2022-09-29,23,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#9970 sold for 16 ETH ($21.38k)

🔗 https://t.co/I4XTVvidhz https://t.co/8fAhM29Coy",mutant ape yacht club mayc nft sold eth k,pos
2023-02-10,31,0,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#19694 sold for 15.241 ETH ($23.44K)

🔗 https://t.co/SGIbrMWLBs https://t.co/AIwKlYaMFO",mutant ape yacht club mayc nft sold eth k,pos
2023-02-09,31,2,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#2764 sold for 15.85 ETH ($24.93K)

🔗 https://t.co/l7eHcERjxa https://t.co/EngPuB9YVk",mutant ape yacht club mayc nft sold eth k,pos
2022-03-27,21,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#1508 sold for 25 ETH (81.62K $)

🔗 https://t.co/sOt7M6OSvL https://t.co/7Qew71AIKi",mutant ape yacht club mayc nft sold eth k,pos
2022-03-30,21,1,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#4806 sold for 21 ETH (71.01K $)

🔗 https://t.co/dwV2s3tFL1 https://t.co/W8Hv1sSsYd",mutant ape yacht club mayc nft sold eth k,pos
2022-12-30,24,1,Mutant Ape Yacht Club,"Mutant Ape Yacht Club #2980 sold for 16 ETH ($18,565)
                        
#NFT Collection: #MutantApeYachtClub, #MAYC
Floor Price: 11.65 #ETH

https://t.co/BQET9bUkNa https://t.co/NnNODQLEZk",mutant ape yacht club sold eth nft collection mutantapeyachtclub mayc floor price eth,pos
2022-09-21,23,2,Mutant Ape Yacht Club,"🧪 Mutant Ape Yacht Club | #MAYC #NFT

#22576 sold for 15.6 ETH ($20.88K)

🔗 https://t.co/BZxl0TzbwS https://t.co/FofQr3MlIa",mutant ape yacht club mayc nft sold eth k,pos
